Country,Wealth,Health,Freedom,Generosity,x,y
Madagascar,0.628,0.333,0.25,0.172,1117.5,840
Togo,0.758,0.32,0.453,0.127,915,682.5
Jordan,1.262,0.594,0.593,0.059,1110,480
India,1.166,0.417,0.767,0.174,1350,630
Egypt,1.37,0.488,0.49,0.025,1065,532.5
Sri Lanka,1.361,0.586,0.583,0.144,1380,660
Bangladesh,1.122,0.513,0.775,0.14,1425,555
Ethiopia,0.792,0.42,0.441,0.27,1117.5,637.5
Tanzania,0.82,0.38,0.709,0.191,1080,727.5
Comoros,0.896,0.37,0.172,0.128,1110,802.5
Yemen,0.671,0.293,0.362,0.08,1155,600
Zambia,0.899,0.264,0.727,0.168,1020,787.5
Eswatini,1.255,0.176,0.284,0.059,1050,862.5
Malawi,0.617,0.349,0.571,0.135,1072.5,772.5
Botswana,1.445,0.241,0.567,0.014,1020,840
Zimbabwe,0.748,0.232,0.487,0.096,1050,802.5
Congo,0.534,0.262,0.473,0.189,1012.5,735
Sierra Leone,0.654,0.253,0.469,0.181,825,682.5
Lesotho,0.771,0,0.523,0.082,1027.5,892.5
Lebanon,1.377,0.556,0.173,0.068,1110,465
Afghanistan,0.628,0.242,0,0.091,1282.5,472.5
